title,artist_name,artist.hotttnesss,duration,familiarity,key,loudness,mode,tempo,time_signature
"Barking Dogs (From ""Piouhgd"")",Butthole Surfers,0.488019842,450.84689,0.809323793,4,-9.063,0,130.586,4
OUTE ENA EFHARISTO,Despina Vandi,0.41168896,303.09832,0.632559542,8,-8.879,0,128.292,4
Midnight Swim,Javier Navarrete,0.382651971,128.83546,0.597541218,3,-17.699,1,90.932,3
In A Subtle Way,Jacob Young,0.294861262,456.30649,0.495445922,1,-19.478,1,89.667,4
Spin,Scarlet's Remains,0.393121934,198.73914,0.527865076,7,-7.469,1,115.061,4
Burning In The Aftermath,The Suicide Machines,0.467538444,95.68608,0.668674533,2,-2.022,1,115.887,4
Angie (1993 Digital Remaster),The Rolling Stones,0.735765693,271.49016,0.814829656,9,-10.358,0,139.333,1
Sabor Guajiro,Roberto Torres,0.350078579,226.66404,0.482356043,0,-12.716,1,117.271,4
Human Cannonball,Loudon Wainwright III,0.442765842,190.48444,0.661080168,3,-15.663,1,102.428,4
Glory Be,R.L. Burnside,0.466628889,277.78567,0.701180874,2,-6.944,1,89.984,4
Crossfire,Stevie Ray Vaughan,0.544257506,248.78975,0.73379894,1,-7.805,1,116.721,4
I Can't Be Satisfied,John Hammond,0.452817838,195.3171,0.590692918,7,-10.7,1,123.142,4
Nashville Parthenon,Casiotone For The Painfully Alone,0.394217199,175.72526,0.665322162,0,-10.93,1,141.919,4
Cocain Ducks,Ec8or,0.33457736,217.23383,0.50407567,10,-9.493,0,95.596,4
Human Being,The New York Dolls,0.479308459,344.05832,0.717670525,11,-9.253,1,154.953,1
The More I See You,Eliane Elias,0.427914247,251.42812,0.669726188,7,-12.009,1,86.091,5
Certain Things We Do,Lost Boyz,0.412240601,269.7922,0.569741152,7,-11.043,1,90.218,4
Forming,The Germs,0.40439264,206.05342,0.640048357,11,-11.506,0,133.144,1
MafuA!,Yamandu Costa,0.383475745,190.04036,0.397772876,2,-14.179,1,205.317,4
Driving Home For Christmas,Chris Rea,0.500691341,241.162,0.643182773,9,-8.531,1,180.149,4
Spooks In Space,Perrey And Kingsley,0.338414819,122.64444,0.411421048,0,-8.541,0,102.538,4
Tous Les GarASSons Et Les Filles,Eurythmics,0.523699078,207.0722,0.75100762,0,-6.629,1,84.164,4
Too Much Saturn,Francis Dunnery,0.383524247,300.79955,0.54858513,7,-13.33,1,124.175,4
Movement 4 [from Kiss] (Album Version),John Cale,0.481655862,228.46649,0.749317801,7,-12.412,1,137.004,1
Stream,Suzanne Ciani,0.380704536,239.59465,0.631946666,7,-21.552,1,106.33,4
Make Me Over,Vickie Winans,0.396855869,228.93669,0.653937821,11,-8.686,0,107.961,4
Deform (live),The Berzerker,0.45755391,165.61587,0.668370612,1,-6.222,1,174.287,3
Wicker Chair,Kings Of Leon,0.788805935,187.92444,0.845768866,0,-5.907,1,116.823,4
An ti chans',Edith Lefel,0.30004649,276.50567,0.407455644,0,-4.638,1,101.972,4
I Will Love Again (JJ's Club Radio),Taras,0.189314878,200.25424,0.460171324,11,-5.884,0,127.97,4
Stickin In My Eye,NOFX,0.554291489,144.50893,0.778816717,4,-7.787,0,152.622,4
Ota kiinni,Murskahumppa,0.26803784,285.17832,0.435889847,7,-8.488,1,110.787,3
Entre CanAbales,Soda Stereo,0.466826993,246.69995,0.711165787,7,-9.603,1,112.903,4
Rosemary Recalls,Bruce Rowland,0.30045446,84.03546,0.443162398,7,-26.266,1,115.642,4
Sudanese Dance,Xcultures,0.266275286,273.52771,0.400433514,1,-6.305,1,125.013,4
Where The Thunder Roars (Tales Of Wonder Album Version),White Heart,0.337507289,298.84036,0.477364753,5,-9.998,1,113.277,4
Wanna Be A Player,Heavy D / McGruff,0.36366811,161.38404,0.617870116,5,-9.161,0,96.979,4
Panama (Remastered Album Version),Van Halen,0.579988982,209.29261,0.744641246,8,-4.865,1,140.995,1
Let's Get It Started,Black Eyed Peas,1.005941966,229.61587,0.845601887,11,-4.882,0,105.206,4
Metal,Nine Inch Nails,0.598458501,426.89261,0.905776889,0,-12.951,0,63.017,4
She Fell Away (2009 Digital Remaster),Nick Cave & The Bad Seeds,0.479407676,269.26975,0.694021648,9,-11.751,0,144.603,4
Next Time,Nadine Renee,0.139247394,249.41669,0.408389022,2,-6.693,1,167.92,4
It's My Party,Lesley Gore,0.389100776,136.48934,0.606925359,9,-9.091,1,129.122,1
Complicate It,Smartbomb,0.322485106,233.27302,0.562463784,0,-2.658,1,132.022,4
Monde De Fou,Suburbs,0.335651839,187.24526,0.481004583,1,-4.42,1,183.92,1
Opus a Satana (Part 2),Emperor,0.453391186,72.61995,0.742963152,9,-11.051,0,89.867,4
This Melody (Live),Julien Clerc,0.364384925,272.63955,0.58547954,2,-9.97,1,119.896,5
I'm Gone This Time,Glen Campbell,0.481024239,142.75873,0.67159627,1,-11.335,0,137.29,4
You Feel Good All Over,T.G. Sheppard,0.343281882,194.11546,0.449323615,5,-15.581,1,82.343,1
Indian Love Call,Slim Whitman,0.386669092,195.91791,0.51644378,3,-11.98,1,91.487,4
You Can Still Be Free,Savage Garden,0.538070295,118.33424,0.728209707,9,-11.215,0,84.69,5
I Never Came,Queens Of The Stone Age,0.552413346,288.41751,0.798645179,2,-8.165,1,115.606,4
Dixie,Hank Penny & The Lincoln Penny Orchestra,0.347598889,123.21914,0.445854631,7,-12.69,0,126.523,1
Commercial Reign,Inspiral Carpets,0.398547535,283.76771,0.605109702,2,-8.7,1,113.677,4
Hourglass,Borialis,0.421415103,239.3073,0.454043995,2,-5.758,1,86.938,4
Wake,The Dirty Skirts,0.404182207,206.75873,0.543516131,0,-4.907,1,141.936,4
Caricia Y Herida,Flor Silvestre,0.313569343,134.81751,0.42054585,11,-8.133,1,106.049,1
Le tortillard,BA(c)zu,0.148985481,285.64853,0.373850623,8,-9.093,1,126.88,4
WKYA (drop),Redman,0.493566843,124.18567,0.743129776,1,-10.296,0,85.008,5
TerA$?slintu,Solistiyhtye Suomi,0.31781096,134.08608,0.13818761,4,-12.839,0,133.699,1
Now's The Time To Fall In Love,Eddie Cantor,0.331090126,155.61098,0.416141023,11,-13.71,1,118.975,1
Grim Prospects (Gross Prospects - Bad Trip Remix),Schizoid,0.349192218,275.40853,0.495559652,9,-2.119,1,102.408,4
Mangos,Kai Winding,0.316354001,223.4771,0.430538907,0,-14.438,1,112.006,4
A Distant Voice,Sonny Simmons,0.317833879,443.24526,0.428375417,1,-13.002,1,45.527,4
Openbare Weg,Mira,0.345751247,177.81506,0.545110951,4,-12.004,1,85.621,4
President Johnson,Citizen Kaned,0.277561738,385.33179,0.483339422,8,-8.37,0,108.061,4
Lead Me Lord,The Brooklyn Tabernacle Choir,0.432011947,324.44036,0.559278494,7,-11.829,1,216.195,5
Spontanous Combustion,Ellen McIlwaine,0.325148571,275.12118,0.438887475,7,-6.29,1,132.428,4
Choro,Vince Guaraldi / Bola Sete,0.414892612,294.66077,0.57810363,5,-15.761,0,168.307,4
Ma Louise,Maurice Chevalier,0.391585329,193.20118,0.502453177,0,-27.433,1,140.956,7
I Want You (Forever),Carl Cox Vs Yousef,0.384184259,357.82485,0.541975108,1,-5.701,1,130.016,5
Hate,Organized Konfusion,0.412671631,198.3473,0.683719468,11,-8.709,0,175.769,4
I Can't Stop Loving You,Martina McBride,0.628246419,261.95546,0.614870934,7,-13.627,1,100.194,3
Thank You Lord,Horace Andy,0.374271174,176.27383,0.626436382,2,-11.479,1,151.911,4
How Can You Call That Beautiful (Stewkey Vocal),Nazz,0.384146444,220.89098,0.494681417,9,-6.302,1,119.691,4
Cheatin' In The Next Room,Tyrone Davis,0.393215104,235.91138,0.543866303,10,-10.466,1,161.976,4
Candy Man,Hot Tuna,0.405178359,239.59465,0.567278871,0,-9.275,1,172.398,1
I See The Boys Of Summer,Richard Burton,0.28404741,171.49342,0.432386477,2,-37.398,1,109.823,3
Three Is a Crowd,Rory Block,0.343185045,266.05669,0.513829587,1,-13.836,1,90.101,1
On Bended Knee,Boyz II Men,0.601184942,329.27302,0.790922848,8,-7.103,1,116.473,4
My Four Reasons,Howard Armstrong,0,198.922,0.454668191,9,-13.495,0,126.821,4
Little Girl (LP Version),Donny Hathaway,0.422472423,283.21914,0.657406765,2,-15.144,1,111.191,3
Eternamente Amame,Miguel Gallardo,0.335101425,238.68036,0.45871209,5,-12.991,1,125.508,4
Niev nietch nievitch,Les Ogres De Barback,0.437964733,254.06649,0.652367864,4,-6.01,0,137.888,1
Come Over,DJ X-Change featuring DJ Joey A,0.281284216,184.31955,0.342440144,6,-5.58,0,150.012,4
Blue Taxi,Morel,0.33406579,311.40526,0.49825931,10,-4.313,1,108.367,4
I Want Love (Tween You & Me) (Album Version),Tony Joe White,0.403509673,162.53342,0.624723768,2,-17.285,1,173.482,4
White Feather,Wolfmother,0.566971566,212.37506,0.79225559,4,-5.931,0,110.745,4
Christlike Roche,The Roches,0.372251208,338.33751,0.573605491,2,-14.248,0,130.027,4
You Rascal You,Bob Margolin,0.326848818,126.51057,0.555985053,11,-12.651,1,110.168,4
Sympathy,Thomas Battenstein,0,205.58322,0.42562724,9,-16.056,0,97.976,3
They Say (Album),Jupiter Rising,0.363177861,193.4624,0.662649695,0,-5.913,0,119.979,4
Simon's Folly,Dharma Bums,0.345809443,127.4771,0.491921881,6,-5.541,1,156.968,1
Crawl Before You Ball (Album Version),Saafir,0.318902078,234.762,0.594779904,5,-6.019,1,188.886,4
Medicate Myself,The Verve Pipe,0.498395338,292.8322,0.70334944,9,-4.953,1,133.306,4
Biding Her Time,Bob Neuwirth,0.301502462,241.10975,0.434272038,4,-18.114,1,152.267,3
More And More  (LP Version),Marvin Sapp,0.459665457,270.68036,0.733714697,1,-11.061,1,166.275,4
Cowboy Ways,James Hunter,0.431526919,188.73424,0.625443262,2,-7.04,1,114.971,4
Brasas Vivas,Nelson Ned,0.32188269,211.80036,0.498663649,9,-15.358,0,144.651,4
Kolomeyke,Mish Mash,0.351210537,254.32771,0.505644262,2,-11.213,1,152.005,1
In This Life,Cama,0.273453727,210.36363,0.406187449,1,-5.904,0,155.074,1
Groovin' In The Midnight,Maxi Priest,0.446890727,301.81832,0.661001337,10,-8.095,0,61.971,1
Waiting,Porcupine Tree,0.507965802,416.80934,0.830252262,6,-7.982,0,124.04,5
A'chek Ouyounik (2009 Digital Remaster),Ragheb Alama,0.424931835,413.36118,0.554226467,7,-8.804,0,191.196,4
Hell,Foo Fighters,0.550762085,117.002,0.839275393,7,-5.699,1,152.127,4
Hips Don't Lie (featuring Wyclef Jean),Shakira Featuring Wyclef Jean,0.682263177,217.36444,0.833178561,10,-5.152,0,100.023,4
Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),The Avengers,0.42251494,122.72281,0.574973901,10,-9.965,1,192.688,4
I Got Over It (Album Version),Robben Ford,0.383877494,203.98975,0.604820432,11,-11.976,0,154.322,4
One Less Bell To Answer,Brazilian Tropical Orchestra,0.339408486,192.44363,0.378013152,5,-10.229,1,236.006,4
Festa,Gil Semedo,0.382869956,285.36118,0.441593442,11,-6.284,1,150.666,5
Te Hacen Falta Vitaminas,Soda Stereo,0.466826993,225.12281,0.711165787,11,-3.818,0,175.421,1
Sense And Trick,Xmilk,0.32138373,123.66322,0.4621406,9,-4.633,0,104.153,4
Fire (Oscar G Space Vocal Mix),Dolce; Oscar G.,0.3370893,525.16526,0.471577282,11,-5.602,0,127.278,4
Hanging On (Medium Key Performance Track Without Background Vocals),Britt Nicole,0.544446277,204.06812,0.669500125,6,-5.157,1,160.165,4
Grim Prospects (Version 2 Remix),Schizoid,0.349192218,166.00771,0.495559652,5,-1.925,1,86.091,3
Christmas In Jamaica,Toni Braxton Featuring Shaggy,0.555968804,219.01016,0.737972528,0,-5.21,1,149.94,4
Gossippo Perpetuo,Perrey And Kingsley,0.350327605,127.9473,0.530605798,0,-12.717,1,135.78,4
2190 Dias Contigo,Sven Tasnadi,0.306603641,570.90567,0.480047819,7,-12.28,1,122.967,4
No Control,Eddie,0.362238747,230.00771,0.622684167,9,-9.748,1,142.024,4
The Vitalized Shell,Enthroned,0.395709548,240.74404,0.593416049,2,-4.878,0,135.535,7
Mozart,Suzanne Ciani,0.380704536,192.20853,0.631946666,2,-23.988,1,139.189,3
Ciao Milan,Milan Band,0,152.0322,0.20107756,8,-9.414,1,128.598,5
Lend Me Your Chopper,Johnny Osbourne,0.409134869,215.30077,0.618765786,3,-9.741,0,163.445,4
Letter To Heaven,Dolly Parton,0.603876487,155.21914,0.707335681,7,-11.965,0,114.027,3
Heaven is Where The Heart Is,Rance Allen Group,0.31401179,207.12444,0.488008882,7,-12.779,1,111.316,1
Inside Job,Pearl Jam,0.60797181,428.56444,0.81444811,4,-8.403,0,105.994,3
Take A Look  (LP Version),Natalie Cole,0.507781667,185.7824,0.69044755,8,-13.251,1,88.489,1
The Czar: Usurper/Escape/Martyr/Spiral (Album Version),Mastodon,0.574274731,654.28853,0.780461749,7,-5.884,0,118.433,4
Bulgarian Dream,Kiril Valeri,0.433945514,306.72934,0.605874049,11,-6.929,1,96.007,4
Amalgama,Word,0.246340714,229.51138,0.638880206,9,-4.198,1,187.807,4
Born and Raised In Compton,DJ Quik,0.413393911,205.58322,0.712098902,7,-6.998,0,181.115,4
We're Gonna Go Fishin',Hank Locklin,0.379436972,127.05914,0.635757022,2,-12.772,1,148.357,4
Robbers Kill Cop,BT,0.512226738,44.35546,0.786427083,1,-18.147,0,136.164,4
Relax,2-4 Grooves feat. Reki D.,0.426944256,203.83302,0.622829997,4,-7.661,0,126.941,4
Sweet By And By,The Jordanaires,0.283562596,176.50893,0.382308283,5,-17.308,1,159.582,3
Orgofart,Descendents,0.476559379,140.66893,0.727230316,6,-28.347,0,89.495,4
Bitch Is Back,L.A. Guns,0.456940558,201.09016,0.665728336,5,-2.869,0,102.259,3
Naked Albino,Bare Jr.,0.360583582,254.79791,0.53938059,10,-7.309,1,107.529,3
Johnny Loves Me (LP Version),Shelley Fabares,0.370194701,143.0722,0.075124762,0,-15.351,1,99.408,4
Dearly Beloved,Norrie Paramor,0.250601286,163.49995,0.312415123,9,-25.694,1,79.731,4
The Look Of Love,Gary Hobbs,0.389765518,289.64526,0.524700041,0,-9.435,1,188.502,1
Cooler Than You,Diesel Boy,0.376688631,124.15955,0.567814264,11,-4.793,1,133.729,1
Taryns Deepest Fear,Angelo Badalamenti,0.399451724,167.3922,0.698770478,4,-17.623,0,139.136,4
Summer Dying Fast,Cradle Of Filth,0.572583336,321.35791,0.784820389,2,-6.2,0,193.693,4
Still,Jim Chappell,0.361509802,263.94077,0.520204911,0,-19.821,1,76.693,4
Snapshot,Ladybug,0.220050765,341.36771,0.479695608,10,-9.632,1,126.95,4
End Of The Road (Head Hornys Remix),Bandido,0.327858925,333.13914,0.463087254,6,-5.671,1,144.812,1
7 Miles,Brixx,0,349.12608,0.515611096,11,-11.708,0,138.003,4
The Frail,Nine Inch Nails,0.598458501,168.56771,0.905776889,7,-16.968,0,130.284,4
Para Milladoiro,Susana Seivane,0.297949266,350.71955,0.352212817,10,-13.038,1,152.013,4
Stone Cold Fingers (Bonus Track),Leland Martin,0.272190152,175.62077,0.385143351,4,-10.647,1,159.968,4
Snowball,Test Icicles,0.373464228,190.24934,0.682045692,4,-4.172,0,75.031,4
(We Don't Need This) Fascist Groove Thang,Heaven 17,0.461558452,255.16363,0.630928608,7,-10.756,1,150.837,4
Drunk Alone,React,0.247340584,120.2673,0.485107918,10,-3.422,0,143.231,1
Charisma,Sven Tasnadi,0.306603641,557.26975,0.480047819,11,-12.26,1,123.993,4
Going Down Slow,Mance Lipscomb,0.33238987,187.53261,0.450852685,11,-23.527,1,97.981,1
All Rise,Scott Wesley Brown,0.342406391,295.60118,0.497307512,2,-9.435,1,137.288,4
Jogo Limpo,FlA!vio JosA(c),0.295470991,252.02893,0.424278927,3,-8.639,1,168.323,4
Silent Hill,Moss,0.389535576,329.35138,0.602555589,2,-7.672,1,111.079,4
Our Love Is Here To Stay,Pery Ribeiro,0.312131222,180.00934,0.385417447,0,-13.668,1,133.009,4
Everything Changes,Soular,0.276702625,244.45342,0.539181188,6,-6.885,1,146.577,5
Master Of Disharmony,Dimmu Borgir,0.599602643,282.53995,0.826075467,6,-4.2,0,140.458,3
(This Is Not A) Love Song (Live),Public Image Ltd,0.415517083,388.28363,0.684994897,0,-16.433,1,132.506,4
What Are We Here For,Gary Moore,0.467110649,345.93914,0.761362238,2,-6.951,1,153.862,4
Une petite pause,Pascal Sangla,0,243.1473,0.464481282,9,-14.737,1,93.238,4
Wig,The B-52's,0.537537201,261.74649,0.681598553,0,-9.628,1,124.086,4
Perasmena Mesanihta,Dakis,0,172.25098,0.336970428,2,-8.46,0,66.765,1
God Save the Queen (Live),Sex Pistols,0.549204384,216.60689,0.73118423,9,-3.736,1,145.518,4
Forever,Chris Brown,0.852186238,363.59791,0.892688611,1,-4.376,1,139.998,4
Sun Is Shining,Deekline & Wizard,0,271.77751,0.332330882,0,-6.947,1,90.648,3
New Age,Daniela DessA!,0,330.65751,0.349012002,2,-12.279,0,140.334,4
Have Yourself A Merry Little Christmas,Hem,0.453435791,133.27628,0.632242851,5,-15.736,1,89.86,1
U Killed It,Lily Allen,0.535408379,264.69832,0.916058239,9,-5.871,1,156.097,4
Rain And Snow,Pentangle,0.333649141,228.51873,0.547078569,5,-12.053,1,179.501,1
Gerra De De,DJ Dips,0.313989733,240.3522,0.392570166,1,-6.248,1,86.689,3
Kako mi je pitas sad,Ana Bekuta,0.305074263,145.57995,0.326699728,0,-13.703,1,160.261,5
Voices On The Corner,Jason Miles,0.371760895,235.80689,0.458055179,10,-9.716,0,101.03,4
(Bloody Paw On The) Kill Floor,Busdriver,0.349476327,192.1824,0.618002715,6,-6.258,1,155.038,4
I Wish My Mother Was Here,Byther Smith,0.36228409,418.87302,0.465194733,1,-11.702,1,117.168,3
Inolvidable,Bebo & Cigala,0.351624469,198.26893,0.483703807,2,-14.509,0,132.967,1
Miracle,Bizarre Inc,0.354725755,420.10077,0.633817882,11,-9.062,1,139.91,4
Witch Weed (Live),Bongzilla,0.446071584,397.26975,0.574400789,9,-6.788,1,95.882,4
Not Buried Deep Enough,The Gone Jackals,0.353000688,229.79873,0.44104996,4,-12.772,1,135.175,3
Give Me 40 Acres (To Turn This Rig Around),The Willis Brothers,0.173067999,150.64771,0.334628878,7,-9.258,1,121.983,3
Ernesto Nazareth,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,0.341904574,286.14485,0.560411686,9,-24.597,0,169.775,3
The Cube (Live),S.U.P,0.27238546,384.70485,0.406166635,11,-8.161,0,137.862,4
Get Back Down,Boogie Pimps,0.365339653,415.03302,0.62799739,1,-6.751,1,83.326,3
Battle Of The Rosebud / Cries,Brian Keane,0.3008559,133.53751,0.453171007,4,-29.295,1,117.667,3
Beyond the Light,Aberdeen,0.343275661,266.70975,0.583773265,9,-12.658,1,90.908,3
Spaceman,The Killers,0.819588282,284.3424,0.918451789,4,-6.546,1,151.953,4
Pulecenella 'e mA2,Gloriana,0.47722519,179.06893,0.73699197,0,-17.522,0,161.054,4
Iskorosten' (instr.),Butterfly Temple,0.366743932,100.5971,0.511000944,8,-10.777,1,159.895,5
Big Stax/High Volts (Album Version),Grant Geissman,0.317248425,320.60036,0.422971308,9,-9.993,1,128.219,4
It Goes On,20/20,0.314882184,302.36689,0.50039601,6,-12.99,1,101.229,4
Pecado De Amor,JosA(c) Augusto,0.322468155,284.70812,0.429544942,0,-8.339,1,98.859,4
Illuminate,Orbital,0.498668875,327.8624,0.693009204,0,-6.531,1,125.975,4
Never Forget Me,Bone Thugs-N-Harmony / Akon,0.555138322,286.30159,0.81592342,1,-6.933,1,154.09,4
Ukkosenjumalan poika,Moonsorrow,0.442652003,356.49261,0.646618529,9,-4.178,1,124.237,4
A B***** Is A B***** (Edited),N.W.A.,0.52040786,168.75057,0.747708669,9,-8.91,1,97.099,4
Kick Out The Jams,Rage Against The Machine,0.5890868,201.56036,0.783458021,9,-2.069,1,140.63,1
Me And My Buddy,Jazz Gillum,0.282286406,185.67791,0.362800142,0,-16.844,0,101.41,1
Amber Changing,Rise Against,0.625080481,218.8273,0.847081688,4,-3.803,1,186.254,4
Murder Academy,Ultraviolence,0.374449431,303.04608,0.499939221,1,-10.57,1,210.47,4
Hey Daddy,Korn,0.558298348,224.522,0.829135422,7,-6.694,1,94.057,4
4 Sea Interludes Op. 33a: Storm,Sir Neville Marriner,0.353034056,315.27138,0.430024987,4,-16.753,1,100.349,1
I Need You Now,Agnes,0.441355562,275.06893,0.737540403,7,-4.376,1,124.009,4
Atmosphere Station,James Horner,0.491828704,191.81669,0.679519208,9,-38.525,1,90.084,1
Walk Away,Tantric,0.467133519,177.24036,0.720808698,2,-1.843,1,106.698,1
Shadows That Move,Mastodon,0.574274731,233.58649,0.780461749,2,-3.937,1,89.78,4
Smile,Xcultures,0.266275286,38.3473,0.400433514,9,-16.006,0,107.177,7
Mountains Of Mourne,The Irish Tenors,0.374862616,100.85832,0.599019959,10,-19.794,1,152.258,4
Kite Live from Sydney,U2,0.750311503,485.19791,0.843526543,3,-7.614,1,134.083,4
Loco (Crazy),Little Joe,0.292801539,239.01995,0.454709911,5,-10.274,1,106.398,3
Ever Be,Korn,0.558298348,288.49587,0.829135422,10,-5.912,1,160.022,3
Oh Look Misery,Blind Blake & The Royal Victoria Hotel Calypsos,0.351345077,151.53587,0.521712214,7,-7.108,1,101.492,4
Yesterdays,Percy Faith,0.388112774,160.28689,0.566796475,0,-15.578,0,86.141,4
Teacher's Pet,Extreme,0.497711444,181.55057,0.717991696,1,-9.334,1,120.097,4
Palmer enquAate,Alexandre Desplat,0.560380805,70.26893,0.609816403,7,-16.942,0,128.173,4
Go To Hell,Prozak,0.37425994,173.24363,0.621213511,8,-6.021,1,88.835,4
Moon River - Original,Jerry Butler,0.389589781,155.74159,0.589259678,2,-13.135,1,105.24,4
La Plus Bath Des Javas,Yvette Horner,0.295889812,148.03546,0.411875463,7,-6.893,1,162.385,1
Infidel,Delta 9,0.409550595,94.06649,0.586000058,2,-9.506,1,109.636,5
English Summer Rain,Placebo,0.586433379,241.52771,0.804523521,10,-7.255,0,108.264,4
Spanish Shuffle (Album Version),Tam Tam Go!,0.316692162,226.82077,0.515044056,9,-7.684,1,119.524,4
Intro,Gertrudis,0.344814469,106.52689,0.444926413,9,-12.385,0,97.76,4
Empress So Divine,Warrior King,0.413237884,224.28689,0.588370653,10,-4.779,1,241.877,4
Terapia De Amor Intensiva,Soda Stereo,0.466826993,340.29669,0.711165787,7,-11.356,1,91.328,4
Haunting,LORE,0.394127577,216.55465,0.510794577,8,-8.147,1,130.062,4
Lies Of Hate,Soul Asylum,0.466775622,279.2224,0.690080124,11,-6.582,0,68.734,4
The First Noel,Carl Doy with NZSO,0.292656454,158.56281,0.342558954,2,-16.527,1,94.658,3
Musical Episode,Horace Andy,0.374271174,234.44853,0.626436382,10,-10.173,0,102.055,1
Beautiful Brown eyes,Jimmy Wakely,0.291539727,155.95057,0.39413854,2,-14.123,1,109.065,1
Drop the Bass,The Nightraver & The Magican,0.244243643,233.53424,0.341937434,6,-5.483,1,184.981,4
The Last Word (Amended Version),Rah Digga (Featuring Outsidaz),0.411448143,256.80934,0.583231605,7,-7.307,1,201.802,3
Hard Times,RUN-DMC,0.606630152,234.65751,0.686988955,1,-12.75,1,119.67,4
Just As Much As Ever,Bert Kaempfert And His Orchestra,0.367639871,163.76118,0.386291901,0,-10.328,1,105.181,1
Filipino Baby,Hank Locklin,0.379436972,159.03302,0.635757022,9,-9.668,1,165.668,3
The Boss,Lady May,0.283699176,214.04689,0.418610662,1,-5.444,1,188.056,3
Escapist,Nightwish,0.593624366,301.06077,0.808784962,3,-4.144,1,143.97,4
Jeffrey's Dark Side,Angelo Badalamenti,0.399451724,109.37424,0.698770478,6,-18.349,1,61.883,1
Someone to Watch Over Me,Frank Chacksfield,0.346357522,151.82322,0.446256667,7,-20.964,1,0,1
